season_end_year,team_abbreviation,player_name,number
2021,ATL,Bogdan Bogdanović,13
2021,ATL,Clint Capela,15
2021,ATL,John Collins,20
2021,ATL,Kris Dunn,32
2021,ATL,Bruno Fernando,24
2021,ATL,Danilo Gallinari,8
2021,ATL,Brandon Goodwin,0
2021,ATL,Solomon Hill,18
2021,ATL,Kevin Huerter,3
2021,ATL,De'Andre Hunter,12
2021,ATL,Nathan Knight,1
2021,ATL,Skylar Mays,4
2021,ATL,Onyeka Okongwu,17
2021,ATL,Cam Reddish,22
2021,ATL,Rajon Rondo,7
2021,ATL,Tony Snell,19
2021,ATL,Lou Williams,6
2021,ATL,Trae Young,11
2021,BOS,Jaylen Brown,7
2021,BOS,Carsen Edwards,4
2021,BOS,Tacko Fall,99
2021,BOS,Evan Fournier,94
2021,BOS,Javonte Green,43
2021,BOS,Luke Kornet,40
2021,BOS,Romeo Langford,45
2021,BOS,Aaron Nesmith,26
2021,BOS,Semi Ojeleye,37
2021,BOS,Jabari Parker,20
2021,BOS,Payton Pritchard,11
2021,BOS,Marcus Smart,36
2021,BOS,Jayson Tatum,0
2021,BOS,Jeff Teague,55
2021,BOS,Daniel Theis,27
2021,BOS,Tristan Thompson,13
2021,BOS,Moritz Wagner,20
2021,BOS,Kemba Walker,8
2021,BOS,Tremont Waters,51
2021,BOS,Grant Williams,12
2021,BOS,Robert Williams,44
2021,BRK,LaMarcus Aldridge,21
2021,BRK,Jarrett Allen,31
2021,BRK,Bruce Brown,1
2021,BRK,Chris Chiozza,4
2021,BRK,Nic Claxton,33
2021,BRK,Tyler Cook,2
2021,BRK,Spencer Dinwiddie,26
2021,BRK,Kevin Durant,7
2021,BRK,Jeff Green,8
2021,BRK,Blake Griffin,2
2021,BRK,James Harden,13
2021,BRK,Joe Harris,12
2021,BRK,Kyrie Irving,11
2021,BRK,Mike James,55
2021,BRK,Alize Johnson,24
2021,BRK,Tyler Johnson,10
2021,BRK,DeAndre Jordan,6
2021,BRK,Rodions Kurucs,00
2021,BRK,Caris LeVert,22
2021,BRK,Timothé Luwawu-Cabarrot,9
2021,BRK,Norvel Pelle,14
2021,BRK,Reggie Perry,"0, 14"
2021,BRK,Taurean Prince,2
2021,BRK,Andre Roberson,22
2021,BRK,Landry Shamet,"13, 20"
2021,BRK,Iman Shumpert,21
2021,BRK,Noah Vonleh,24
2021,CHI,Al-Farouq Aminu,5
