season_end_year,team,player_name,college
2023,Atlanta Hawks,Saddiq Bey,Villanova
2023,Atlanta Hawks,Bogdan Bogdanović,
2023,Atlanta Hawks,Clint Capela,
2023,Atlanta Hawks,John Collins,Wake Forest
2023,Atlanta Hawks,Jarrett Culver,Texas Tech
2023,Atlanta Hawks,Bruno Fernando,Maryland
2023,Atlanta Hawks,Trent Forrest,Florida State
2023,Atlanta Hawks,AJ Griffin,Duke
2023,Atlanta Hawks,Aaron Holiday,UCLA
2023,Atlanta Hawks,Justin Holiday,Washington
2023,Atlanta Hawks,De'Andre Hunter,Virginia
2023,Atlanta Hawks,Jalen Johnson,Duke
2023,Atlanta Hawks,Frank Kaminsky,Wisconsin
2023,Atlanta Hawks,Vít Krejčí,
2023,Atlanta Hawks,Tyrese Martin,"Rhode Island, UConn"
2023,Atlanta Hawks,Garrison Mathews,Lipscomb
2023,Atlanta Hawks,Dejounte Murray,Washington
2023,Atlanta Hawks,Onyeka Okongwu,USC
2023,Atlanta Hawks,Donovan Williams,"Texas, UNLV"
2023,Atlanta Hawks,Trae Young,Oklahoma
2023,Boston Celtics,Malcolm Brogdon,Virginia
2023,Boston Celtics,Jaylen Brown,California
2023,Boston Celtics,Justin Champagnie,Pitt
2023,Boston Celtics,JD Davison,Alabama
2023,Boston Celtics,Blake Griffin,Oklahoma
2023,Boston Celtics,Sam Hauser,"Marquette, Virginia"
2023,Boston Celtics,Al Horford,Florida
2023,Boston Celtics,Justin Jackson,UNC
2023,Boston Celtics,Mfiondu Kabengele,Florida State
2023,Boston Celtics,Luke Kornet,Vanderbilt
2023,Boston Celtics,Mike Muscala,Bucknell
2023,Boston Celtics,Payton Pritchard,Oregon
2023,Boston Celtics,Marcus Smart,Oklahoma State
2023,Boston Celtics,Jayson Tatum,Duke
2023,Boston Celtics,Noah Vonleh,Indiana
2023,Boston Celtics,Derrick White,"Colorado-Colorado Springs, Colorado"
2023,Boston Celtics,Grant Williams,Tennessee
2023,Boston Celtics,Robert Williams,Texas A&M
2023,Brooklyn Nets,Mikal Bridges,Villanova
2023,Brooklyn Nets,Moses Brown,UCLA
2023,Brooklyn Nets,Nic Claxton,Georgia
2023,Brooklyn Nets,Seth Curry,"Liberty, Duke"
2023,Brooklyn Nets,Spencer Dinwiddie,Colorado
2023,Brooklyn Nets,David Duke Jr.,Providence
2023,Brooklyn Nets,Kevin Durant,Texas
2023,Brooklyn Nets,Kessler Edwards,Pepperdine
2023,Brooklyn Nets,Dorian Finney-Smith,Florida
2023,Brooklyn Nets,RaiQuan Gray,Florida State
2023,Brooklyn Nets,Joe Harris,Virginia
2023,Brooklyn Nets,Kyrie Irving,Duke
2023,Brooklyn Nets,Cameron Johnson,"Pitt, UNC"
2023,Brooklyn Nets,Patty Mills,Saint Mary's
2023,Brooklyn Nets,Markieff Morris,Kansas
2023,Brooklyn Nets,Nerlens Noel,Kentucky
2023,Brooklyn Nets,Royce O'Neale,"Denver, Baylor"
2023,Brooklyn Nets,Day'Ron Sharpe,UNC
2023,Brooklyn Nets,Ben Simmons,LSU
2023,Brooklyn Nets,Dru Smith,"University of Evansville, Missouri"
2023,Brooklyn Nets,Edmond Sumner,Xavier
2023,Brooklyn Nets,Cam Thomas,LSU
2023,Brooklyn Nets,T.J. Warren,NC State
2023,Brooklyn Nets,Yuta Watanabe,George Washington
2023,Brooklyn Nets,Alondes Williams,"Triton College, Oklahoma, Wake Forest"
2023,Chicago Bulls,Patrick Beverley,Arkansas
2023,Chicago Bulls,Tony Bradley,UNC
2023,Chicago Bulls,Alex Caruso,Texas A&M
2023,Chicago Bulls,DeMar DeRozan,USC
2023,Chicago Bulls,Ayo Dosunmu,Illinois
2023,Chicago Bulls,Goran Dragić,
2023,Chicago Bulls,Andre Drummond,UConn
2023,Chicago Bulls,Javonte Green,Radford
2023,Chicago Bulls,Malcolm Hill,Illinois
2023,Chicago Bulls,Carlik Jones,"Radford, Louisville"
2023,Chicago Bulls,Derrick Jones Jr.,UNLV
2023,Chicago Bulls,Zach LaVine,UCLA
2023,Chicago Bulls,Marko Simonovic,
2023,Chicago Bulls,Terry Taylor,Austin Peay State University
2023,Chicago Bulls,Dalen Terry,Arizona
2023,Chicago Bulls,Nikola Vučević,USC
2023,Chicago Bulls,Coby White,UNC
2023,Chicago Bulls,Patrick Williams,Florida State
2023,Cleveland Cavaliers,Jarrett Allen,Texas
2023,Cleveland Cavaliers,Mamadi Diakite,Virginia
2023,Cleveland Cavaliers,Darius Garland,Vanderbilt
2023,Cleveland Cavaliers,Danny Green,UNC
2023,Cleveland Cavaliers,Caris LeVert,Michigan
2023,Cleveland Cavaliers,Robin Lopez,Stanford
2023,Cleveland Cavaliers,Kevin Love,UCLA
2023,Cleveland Cavaliers,Sam Merrill,Utah State University
2023,Cleveland Cavaliers,Donovan Mitchell,Louisville
2023,Cleveland Cavaliers,Evan Mobley,USC
2023,Cleveland Cavaliers,Isaiah Mobley,USC
2023,Cleveland Cavaliers,Raul Neto,
2023,Cleveland Cavaliers,Isaac Okoro,Auburn
2023,Cleveland Cavaliers,Cedi Osman,
2023,Cleveland Cavaliers,Ricky Rubio,
2023,Cleveland Cavaliers,Lamar Stevens,Penn State
2023,Cleveland Cavaliers,Dean Wade,Kansas State
2023,Cleveland Cavaliers,Dylan Windler,Belmont
2023,Dallas Mavericks,Dāvis Bertāns,
2023,Dallas Mavericks,Reggie Bullock,UNC
2023,Dallas Mavericks,Facundo Campazzo,
2023,Dallas Mavericks,Spencer Dinwiddie,Colorado
2023,Dallas Mavericks,Luka Dončić,
2023,Dallas Mavericks,Tyler Dorsey,Oregon
2023,Dallas Mavericks,Dorian Finney-Smith,Florida
2023,Dallas Mavericks,Josh Green,Arizona
2023,Dallas Mavericks,Tim Hardaway Jr.,Michigan
2023,Dallas Mavericks,Jaden Hardy,
2023,Dallas Mavericks,Justin Holiday,Washington
2023,Dallas Mavericks,Kyrie Irving,Duke
2023,Dallas Mavericks,Maxi Kleber,
2023,Dallas Mavericks,A.J. Lawson,South Carolina
2023,Dallas Mavericks,JaVale McGee,Nevada
2023,Dallas Mavericks,Markieff Morris,Kansas
2023,Dallas Mavericks,Frank Ntilikina,
2023,Dallas Mavericks,Theo Pinson,UNC
2023,Dallas Mavericks,Dwight Powell,Stanford
2023,Dallas Mavericks,Chris Silva,South Carolina
2023,Dallas Mavericks,Kemba Walker,UConn
2023,Dallas Mavericks,Christian Wood,UNLV
2023,Dallas Mavericks,McKinley Wright IV,Colorado
2023,Denver Nuggets,Christian Braun,Kansas
2023,Denver Nuggets,Bruce Brown,Miami (FL)
2023,Denver Nuggets,Thomas Bryant,Indiana
2023,Denver Nuggets,Kentavious Caldwell-Pope,Georgia
2023,Denver Nuggets,Vlatko Čančar,
2023,Denver Nuggets,Aaron Gordon,Arizona
2023,Denver Nuggets,Jeff Green,Georgetown
2023,Denver Nuggets,Bones Hyland,VCU
2023,Denver Nuggets,Reggie Jackson,Boston College
2023,Denver Nuggets,Nikola Jokić,
2023,Denver Nuggets,DeAndre Jordan,Texas A&M
2023,Denver Nuggets,Jamal Murray,Kentucky
2023,Denver Nuggets,Zeke Nnaji,Arizona
2023,Denver Nuggets,Michael Porter Jr.,Missouri
2023,Denver Nuggets,Davon Reed,Miami (FL)
2023,Denver Nuggets,Ish Smith,Wake Forest
2023,Denver Nuggets,Peyton Watson,UCLA
2023,Denver Nuggets,Jack White,Duke
2023,Detroit Pistons,Marvin Bagley III,Duke
2023,Detroit Pistons,Saddiq Bey,Villanova
2023,Detroit Pistons,Buddy Boeheim,Syracuse
2023,Detroit Pistons,Bojan Bogdanović,
2023,Detroit Pistons,Alec Burks,Colorado
2023,Detroit Pistons,Cade Cunningham,Oklahoma State
2023,Detroit Pistons,Hamidou Diallo,Kentucky
2023,Detroit Pistons,Jalen Duren,Memphis
2023,Detroit Pistons,R.J. Hampton,
2023,Detroit Pistons,Killian Hayes,
2023,Detroit Pistons,Jaden Ivey,Purdue
2023,Detroit Pistons,Cory Joseph,Texas
2023,Detroit Pistons,Braxton Key,"Alabama, Virginia"
2023,Detroit Pistons,Kevin Knox,Kentucky
2023,Detroit Pistons,Isaiah Livers,Michigan
2023,Detroit Pistons,Rodney McGruder,Kansas State
2023,Detroit Pistons,Nerlens Noel,Kentucky
2023,Detroit Pistons,Eugene Omoruyi,"Rutgers University, Oregon"
2023,Detroit Pistons,Jared Rhoden,Seton Hall
2023,Detroit Pistons,Isaiah Stewart,Washington
2023,Detroit Pistons,Stanley Umude,"South Dakota, Arkansas"
2023,Detroit Pistons,James Wiseman,Memphis
2023,Golden State Warriors,Patrick Baldwin Jr.,UW-Milwaukee
2023,Golden State Warriors,Stephen Curry,Davidson
2023,Golden State Warriors,Donte DiVincenzo,Villanova
2023,Golden State Warriors,Draymond Green,Michigan State
2023,Golden State Warriors,JaMychal Green,Alabama
2023,Golden State Warriors,Andre Iguodala,Arizona
2023,Golden State Warriors,Ty Jerome,Virginia
2023,Golden State Warriors,Jonathan Kuminga,
2023,Golden State Warriors,Anthony Lamb,University of Vermont
2023,Golden State Warriors,Kevon Looney,UCLA
2023,Golden State Warriors,Moses Moody,Arkansas
2023,Golden State Warriors,Gary Payton II,Oregon State
2023,Golden State Warriors,Jordan Poole,Michigan
2023,Golden State Warriors,Lester Quiñones,Memphis
2023,Golden State Warriors,Ryan Rollins,Toledo
2023,Golden State Warriors,Klay Thompson,Washington State
2023,Golden State Warriors,Andrew Wiggins,Kansas
2023,Golden State Warriors,James Wiseman,Memphis
2023,Houston Rockets,Josh Christopher,Arizona State
2023,Houston Rockets,Darius Days,LSU
2023,Houston Rockets,Tari Eason,"Cincinnati, LSU"
2023,Houston Rockets,Bruno Fernando,Maryland
2023,Houston Rockets,Usman Garuba,
2023,Houston Rockets,Eric Gordon,Indiana
2023,Houston Rockets,Jalen Green,
2023,Houston Rockets,Trevor Hudgins,Northwest Missouri State University
2023,Houston Rockets,Frank Kaminsky,Wisconsin
2023,Houston Rockets,Boban Marjanović,
2023,Houston Rockets,KJ Martin,
2023,Houston Rockets,Garrison Mathews,Lipscomb
2023,Houston Rockets,Daishen Nix,
2023,Houston Rockets,Kevin Porter Jr.,USC
2023,Houston Rockets,Alperen Şengün,
2023,Houston Rockets,Jabari Smith Jr.,Auburn
2023,Houston Rockets,Jae'Sean Tate,Ohio State
2023,Houston Rockets,TyTy Washington Jr.,Kentucky
2023,Indiana Pacers,Goga Bitadze,
2023,Indiana Pacers,Oshae Brissett,Syracuse
2023,Indiana Pacers,Kendall Brown,Baylor
2023,Indiana Pacers,Chris Duarte,Oregon
2023,Indiana Pacers,Tyrese Haliburton,Iowa State
2023,Indiana Pacers,Buddy Hield,Oklahoma
2023,Indiana Pacers,George Hill,IUPUI
2023,Indiana Pacers,Isaiah Jackson,Kentucky
2023,Indiana Pacers,James Johnson,Wake Forest
2023,Indiana Pacers,Bennedict Mathurin,Arizona
2023,Indiana Pacers,T.J. McConnell,"Duquesne, Arizona"
2023,Indiana Pacers,Andrew Nembhard,"Florida, Gonzaga"
2023,Indiana Pacers,Aaron Nesmith,Vanderbilt
2023,Indiana Pacers,Jordan Nwora,Louisville
2023,Indiana Pacers,Trevelin Queen,"College of Marin, New Mexico Military Institute, New Mexico State"
2023,Indiana Pacers,Jalen Smith,Maryland
2023,Indiana Pacers,Terry Taylor,Austin Peay State University
2023,Indiana Pacers,Daniel Theis,
2023,Indiana Pacers,Myles Turner,Texas
2023,Indiana Pacers,Gabe York,Arizona
2023,Los Angeles Clippers,Nicolas Batum,
2023,Los Angeles Clippers,Brandon Boston Jr.,Kentucky
2023,Los Angeles Clippers,Moses Brown,UCLA
2023,Los Angeles Clippers,Amir Coffey,Minnesota
2023,Los Angeles Clippers,Robert Covington,Tennessee State
2023,Los Angeles Clippers,Moussa Diabaté,Michigan
2023,Los Angeles Clippers,Paul George,Fresno State
2023,Los Angeles Clippers,Eric Gordon,Indiana
2023,Los Angeles Clippers,Bones Hyland,VCU
2023,Los Angeles Clippers,Reggie Jackson,Boston College
2023,Los Angeles Clippers,Luke Kennard,Duke
2023,Los Angeles Clippers,Kawhi Leonard,San Diego State
2023,Los Angeles Clippers,Terance Mann,Florida State
2023,Los Angeles Clippers,Xavier Moon,"Northwest Florida State College, Morehead State University"
2023,Los Angeles Clippers,Marcus Morris,Kansas
2023,Los Angeles Clippers,Mason Plumlee,Duke
2023,Los Angeles Clippers,Norman Powell,UCLA
2023,Los Angeles Clippers,Jason Preston,Ohio University
2023,Los Angeles Clippers,John Wall,Kentucky
2023,Los Angeles Clippers,Russell Westbrook,UCLA
2023,Los Angeles Clippers,Ivica Zubac,
2023,Los Angeles Lakers,Mo Bamba,Texas
2023,Los Angeles Lakers,Malik Beasley,Florida State
2023,Los Angeles Lakers,Patrick Beverley,Arkansas
2023,Los Angeles Lakers,Sterling Brown,SMU
2023,Los Angeles Lakers,Troy Brown Jr.,Oregon
2023,Los Angeles Lakers,Thomas Bryant,Indiana
2023,Los Angeles Lakers,Max Christie,Michigan State
2023,Los Angeles Lakers,Anthony Davis,Kentucky
2023,Los Angeles Lakers,Wenyen Gabriel,Kentucky
2023,Los Angeles Lakers,Rui Hachimura,Gonzaga
2023,Los Angeles Lakers,Shaquille Harrison,Tulsa
2023,Los Angeles Lakers,LeBron James,
2023,Los Angeles Lakers,Damian Jones,Vanderbilt
2023,Los Angeles Lakers,Kendrick Nunn,"Illinois, Oakland"
2023,Los Angeles Lakers,Scotty Pippen Jr.,Vanderbilt
2023,Los Angeles Lakers,Austin Reaves,"Wichita State, Oklahoma"
2023,Los Angeles Lakers,Davon Reed,Miami (FL)
2023,Los Angeles Lakers,D'Angelo Russell,Ohio State
2023,Los Angeles Lakers,Matt Ryan,"Notre Dame, Vanderbilt, Chattanooga"
2023,Los Angeles Lakers,Dennis Schröder,
2023,Los Angeles Lakers,Cole Swider,"Villanova, Syracuse"
2023,Los Angeles Lakers,Tristan Thompson,Texas
2023,Los Angeles Lakers,Juan Toscano-Anderson,Marquette
2023,Los Angeles Lakers,Jarred Vanderbilt,Kentucky
2023,Los Angeles Lakers,Lonnie Walker IV,Miami (FL)
2023,Los Angeles Lakers,Russell Westbrook,UCLA
2023,Memphis Grizzlies,Steven Adams,Pitt
2023,Memphis Grizzlies,Santi Aldama,Loyola (MD)
2023,Memphis Grizzlies,Desmond Bane,TCU
2023,Memphis Grizzlies,Dillon Brooks,Oregon
2023,Memphis Grizzlies,Kennedy Chandler,Tennessee
2023,Memphis Grizzlies,Brandon Clarke,"San Jose State, Gonzaga"
2023,Memphis Grizzlies,Jacob Gilyard,Richmond
2023,Memphis Grizzlies,Danny Green,UNC
2023,Memphis Grizzlies,Jaren Jackson Jr.,Michigan State
2023,Memphis Grizzlies,Tyus Jones,Duke
2023,Memphis Grizzlies,Luke Kennard,Duke
2023,Memphis Grizzlies,John Konchar,Purdue-Fort Wayne
2023,Memphis Grizzlies,Jake LaRavia,"Indiana State University, Wake Forest"
2023,Memphis Grizzlies,Kenneth Lofton Jr.,Louisiana Tech
2023,Memphis Grizzlies,Ja Morant,Murray State
2023,Memphis Grizzlies,David Roddy,Colorado State
2023,Memphis Grizzlies,Xavier Tillman Sr.,Michigan State
2023,Memphis Grizzlies,Vince Williams Jr.,VCU
2023,Memphis Grizzlies,Ziaire Williams,Stanford
2023,Miami Heat,Bam Adebayo,Kentucky
2023,Miami Heat,Jamaree Bouyea,San Francisco
2023,Miami Heat,Jimmy Butler,"Tyler Junior College, Marquette"
2023,Miami Heat,Jamal Cain,"Marquette, Oakland"
2023,Miami Heat,Dewayne Dedmon,USC
2023,Miami Heat,Udonis Haslem,Florida
2023,Miami Heat,Tyler Herro,Kentucky
2023,Miami Heat,Haywood Highsmith,Wheeling University
2023,Miami Heat,Nikola Jović,
2023,Miami Heat,Kevin Love,UCLA
2023,Miami Heat,Kyle Lowry,Villanova
2023,Miami Heat,Caleb Martin,"NC State, Nevada"
2023,Miami Heat,Victor Oladipo,Indiana
2023,Miami Heat,Duncan Robinson,"Williams, Michigan"
2023,Miami Heat,Orlando Robinson,Fresno State
2023,Miami Heat,Dru Smith,"University of Evansville, Missouri"
2023,Miami Heat,Max Strus,"Lewis (IL), DePaul"
2023,Miami Heat,Gabe Vincent,UC Santa Barbara
2023,Miami Heat,Omer Yurtseven,"NC State, Georgetown"
2023,Miami Heat,Cody Zeller,Indiana
2023,Milwaukee Bucks,Grayson Allen,Duke
2023,Milwaukee Bucks,Giannis Antetokounmpo,
2023,Milwaukee Bucks,Thanasis Antetokounmpo,
2023,Milwaukee Bucks,MarJon Beauchamp,Yakima Valley Community College
2023,Milwaukee Bucks,Jevon Carter,West Virginia
2023,Milwaukee Bucks,Pat Connaughton,Notre Dame
2023,Milwaukee Bucks,Jae Crowder,Marquette
2023,Milwaukee Bucks,Goran Dragić,
2023,Milwaukee Bucks,A.J. Green,University of Northern Iowa
2023,Milwaukee Bucks,George Hill,IUPUI
2023,Milwaukee Bucks,Jrue Holiday,UCLA
2023,Milwaukee Bucks,Serge Ibaka,
2023,Milwaukee Bucks,Joe Ingles,
2023,Milwaukee Bucks,Meyers Leonard,Illinois
2023,Milwaukee Bucks,Brook Lopez,Stanford
2023,Milwaukee Bucks,Sandro Mamukelashvili,Seton Hall
2023,Milwaukee Bucks,Wesley Matthews,Marquette
2023,Milwaukee Bucks,Khris Middleton,Texas A&M
2023,Milwaukee Bucks,Jordan Nwora,Louisville
2023,Milwaukee Bucks,Bobby Portis,Arkansas
2023,Milwaukee Bucks,Lindell Wigginton,Iowa State
2023,Minnesota Timberwolves,Nickeil Alexander-Walker,Virginia Tech
2023,Minnesota Timberwolves,Kyle Anderson,UCLA
2023,Minnesota Timberwolves,Mike Conley,Ohio State
2023,Minnesota Timberwolves,Anthony Edwards,Georgia
2023,Minnesota Timberwolves,Bryn Forbes,Michigan State
2023,Minnesota Timberwolves,Luka Garza,Iowa
2023,Minnesota Timberwolves,Rudy Gobert,
2023,Minnesota Timberwolves,Nathan Knight,William & Mary
2023,Minnesota Timberwolves,A.J. Lawson,South Carolina
2023,Minnesota Timberwolves,Jaden McDaniels,Washington
2023,Minnesota Timberwolves,Jordan McLaughlin,USC
2023,Minnesota Timberwolves,Josh Minott,Memphis
2023,Minnesota Timberwolves,Wendell Moore Jr.,Duke
2023,Minnesota Timberwolves,Jaylen Nowell,Washington
2023,Minnesota Timberwolves,Taurean Prince,Baylor
2023,Minnesota Timberwolves,Naz Reid,LSU
2023,Minnesota Timberwolves,Austin Rivers,Duke
2023,Minnesota Timberwolves,D'Angelo Russell,Ohio State
2023,Minnesota Timberwolves,Matt Ryan,"Notre Dame, Vanderbilt, Chattanooga"
2023,Minnesota Timberwolves,Karl-Anthony Towns,Kentucky
2023,New Orleans Pelicans,Jose Alvarado,Georgia Tech
2023,New Orleans Pelicans,Dyson Daniels,
2023,New Orleans Pelicans,Devonte' Graham,Kansas
2023,New Orleans Pelicans,Jaxson Hayes,Texas
2023,New Orleans Pelicans,Willy Hernangómez,
2023,New Orleans Pelicans,Brandon Ingram,Duke
2023,New Orleans Pelicans,Herbert Jones,Alabama
2023,New Orleans Pelicans,Kira Lewis Jr.,Alabama
2023,New Orleans Pelicans,Naji Marshall,Xavier
2023,New Orleans Pelicans,CJ McCollum,Lehigh
2023,New Orleans Pelicans,Trey Murphy III,"Rice University, Virginia"
2023,New Orleans Pelicans,Larry Nance Jr.,Wyoming
2023,New Orleans Pelicans,Josh Richardson,Tennessee
2023,New Orleans Pelicans,Dereon Seabron,NC State
2023,New Orleans Pelicans,Garrett Temple,LSU
2023,New Orleans Pelicans,Jonas Valančiūnas,
2023,New Orleans Pelicans,Zion Williamson,Duke
2023,New York Knicks,Ryan Arcidiacono,Villanova
2023,New York Knicks,RJ Barrett,Duke
2023,New York Knicks,Jalen Brunson,Villanova
2023,New York Knicks,Evan Fournier,
2023,New York Knicks,Quentin Grimes,"Kansas, Houston"
2023,New York Knicks,Josh Hart,Villanova
2023,New York Knicks,Isaiah Hartenstein,
2023,New York Knicks,DaQuan Jeffries,"Oral Roberts, Tulsa"
2023,New York Knicks,Trevor Keels,Duke
2023,New York Knicks,Miles McBride,West Virginia
2023,New York Knicks,Svi Mykhailiuk,Kansas
2023,New York Knicks,Immanuel Quickley,Kentucky
2023,New York Knicks,Julius Randle,Kentucky
2023,New York Knicks,Cam Reddish,Duke
2023,New York Knicks,Mitchell Robinson,Western Kentucky
2023,New York Knicks,Derrick Rose,Memphis
2023,New York Knicks,Jericho Sims,Texas
2023,New York Knicks,Obi Toppin,Dayton
2023,Oklahoma City Thunder,Darius Bazley,
2023,Oklahoma City Thunder,Jared Butler,Baylor
2023,Oklahoma City Thunder,Ousmane Dieng,
2023,Oklahoma City Thunder,Luguentz Dort,Arizona State
2023,Oklahoma City Thunder,Josh Giddey,
2023,Oklahoma City Thunder,Shai Gilgeous-Alexander,Kentucky
2023,Oklahoma City Thunder,Isaiah Joe,Arkansas
2023,Oklahoma City Thunder,Tre Mann,Florida
2023,Oklahoma City Thunder,Mike Muscala,Bucknell
2023,Oklahoma City Thunder,Eugene Omoruyi,"Rutgers University, Oregon"
2023,Oklahoma City Thunder,Aleksej Pokusevski,
2023,Oklahoma City Thunder,Jeremiah Robinson-Earl,Villanova
2023,Oklahoma City Thunder,Dario Šarić,
2023,Oklahoma City Thunder,Olivier Sarr,"Wake Forest, Kentucky"
2023,Oklahoma City Thunder,Lindy Waters III,Oklahoma State
2023,Oklahoma City Thunder,Aaron Wiggins,Maryland
2023,Oklahoma City Thunder,Jalen Williams,Santa Clara
2023,Oklahoma City Thunder,Jaylin Williams,Arkansas
2023,Oklahoma City Thunder,Kenrich Williams,TCU
2023,Orlando Magic,Cole Anthony,UNC
2023,Orlando Magic,Mo Bamba,Texas
2023,Orlando Magic,Paolo Banchero,Duke
2023,Orlando Magic,Goga Bitadze,
2023,Orlando Magic,Bol Bol,Oregon
2023,Orlando Magic,Wendell Carter Jr.,Duke
2023,Orlando Magic,Michael Carter-Williams,Syracuse
2023,Orlando Magic,Markelle Fultz,Washington
2023,Orlando Magic,R.J. Hampton,
2023,Orlando Magic,Gary Harris,Michigan State
2023,Orlando Magic,Kevon Harris,Stephen F. Austin
2023,Orlando Magic,Caleb Houstan,Michigan
2023,Orlando Magic,Jonathan Isaac,Florida State
2023,Orlando Magic,Chuma Okeke,Auburn
2023,Orlando Magic,Terrence Ross,Washington
2023,Orlando Magic,Admiral Schofield,Tennessee
2023,Orlando Magic,Jay Scrubb,John A. Logan College
2023,Orlando Magic,Jalen Suggs,Gonzaga
2023,Orlando Magic,Franz Wagner,Michigan
2023,Orlando Magic,Moritz Wagner,Michigan
2023,Philadelphia 76ers,Julian Champagnie,St. John's
2023,Philadelphia 76ers,Dewayne Dedmon,USC
2023,Philadelphia 76ers,Joel Embiid,Kansas
2023,Philadelphia 76ers,Michael Foster Jr.,
2023,Philadelphia 76ers,James Harden,Arizona State
2023,Philadelphia 76ers,Montrezl Harrell,Louisville
2023,Philadelphia 76ers,Tobias Harris,Tennessee
2023,Philadelphia 76ers,Danuel House Jr.,Texas A&M
2023,Philadelphia 76ers,Louis King,Oregon
2023,Philadelphia 76ers,Furkan Korkmaz,
2023,Philadelphia 76ers,Saben Lee,Vanderbilt
2023,Philadelphia 76ers,Tyrese Maxey,Kentucky
2023,Philadelphia 76ers,Mac McClung,"Georgetown, Texas Tech"
2023,Philadelphia 76ers,Jalen McDaniels,San Diego State
2023,Philadelphia 76ers,De'Anthony Melton,USC
2023,Philadelphia 76ers,Shake Milton,SMU
2023,Philadelphia 76ers,Georges Niang,Iowa State
2023,Philadelphia 76ers,Paul Reed,DePaul
2023,Philadelphia 76ers,Jaden Springer,Tennessee
2023,Philadelphia 76ers,Matisse Thybulle,Washington
2023,Philadelphia 76ers,P.J. Tucker,Texas
2023,Phoenix Suns,Deandre Ayton,Arizona
2023,Phoenix Suns,Darius Bazley,
2023,Phoenix Suns,Bismack Biyombo,
2023,Phoenix Suns,Devin Booker,Kentucky
2023,Phoenix Suns,Mikal Bridges,Villanova
2023,Phoenix Suns,Torrey Craig,USC Upstate
2023,Phoenix Suns,Kevin Durant,Texas
2023,Phoenix Suns,Cameron Johnson,"Pitt, UNC"
2023,Phoenix Suns,Jock Landale,Saint Mary's
2023,Phoenix Suns,Damion Lee,"Drexel, Louisville"
2023,Phoenix Suns,Saben Lee,Vanderbilt
2023,Phoenix Suns,Josh Okogie,Georgia Tech
2023,Phoenix Suns,Chris Paul,Wake Forest
2023,Phoenix Suns,Cameron Payne,Murray State
2023,Phoenix Suns,Terrence Ross,Washington
2023,Phoenix Suns,Dario Šarić,
2023,Phoenix Suns,Landry Shamet,Wichita State
2023,Phoenix Suns,Ish Wainright,Baylor
2023,Phoenix Suns,T.J. Warren,NC State
2023,Phoenix Suns,Duane Washington Jr.,Ohio State
2023,Portland Trail Blazers,Ryan Arcidiacono,Villanova
2023,Portland Trail Blazers,Greg Brown III,Texas
2023,Portland Trail Blazers,John Butler,Florida State
2023,Portland Trail Blazers,Chance Comanche,Arizona
2023,Portland Trail Blazers,Drew Eubanks,Oregon State
